chiton,length,stimulus,response
1,11,Black,1
1,11,Black,1
1,11,White,1
1,11,White,0
1,11,Black,1
1,11,White,0
1,11,White,0
1,11,Black,1
1,11,White,1
1,11,Black,1
2,4,White,0
2,4,White,0
2,4,Black,0
2,4,White,1
2,4,Black,1
2,4,White,1
2,4,Black,1
2,4,White,1
2,4,Black,1
2,4,Black,1
3,9,Black,1
3,9,White,0
3,9,Black,1
3,9,Black,1
3,9,Black,1
3,9,White,1
3,9,Black,1
3,9,White,0
3,9,White,0
3,9,White,0
4,9,Black,1
4,9,Black,1
4,9,White,0
4,9,White,0
4,9,White,0
4,9,Black,1
4,9,Black,1
4,9,White,1
4,9,Black,1
4,9,White,0
5,6,White,0
5,6,White,0
5,6,Black,1
5,6,Black,1
5,6,Black,1
5,6,White,0
5,6,Black,1
5,6,White,0
5,6,White,0
5,6,Black,1
6,6,White,0
6,6,White,0
6,6,Black,0
6,6,Black,1
6,6,White,0
6,6,Black,1
6,6,Black,1
6,6,White,0
6,6,Black,0
6,6,White,0
7,5,Black,1
7,5,White,0
7,5,Black,1
7,5,White,0
7,5,White,0
7,5,Black,0
7,5,Black,1
7,5,Black,1
7,5,White,0
7,5,White,0
8,6,Black,1
8,6,Black,1
8,6,Black,1
8,6,White,0
8,6,White,1
8,6,Black,0
8,6,Black,1
8,6,White,1
8,6,White,0
8,6,White,0
9,8,White,0
9,8,White,0
9,8,Black,1
9,8,White,0
9,8,Black,1
9,8,Black,1
9,8,White,0
9,8,White,1
9,8,Black,1
9,8,Black,1
10,7,White,0
10,7,Black,1
10,7,Black,1
10,7,White,0
10,7,Black,1
10,7,Black,0
10,7,Black,0
10,7,White,0
10,7,White,1
10,7,White,0
11,4,White,0
11,4,White,0
11,4,Black,1
11,4,Black,1
11,4,White,0
11,4,Black,1
11,4,Black,1
11,4,White,0
11,4,White,0
11,4,Black,1
12,10,White,0
12,10,Black,1
12,10,White,0
12,10,Black,1
12,10,Black,1
12,10,Black,1
12,10,White,1
12,10,White,0
12,10,White,0
12,10,Black,1
13,6,White,1
13,6,Black,1
13,6,White,0
13,6,White,0
13,6,White,0
13,6,Black,1
13,6,Black,1
13,6,Black,1
13,6,White,1
13,6,Black,1
14,7,White,0
14,7,Black,1
14,7,White,1
14,7,White,0
14,7,Black,1
14,7,Black,1
14,7,Black,1
14,7,White,1
14,7,White,0
14,7,Black,1
15,6,White,0
15,6,White,0
15,6,White,0
15,6,Black,1
15,6,Black,1
15,6,White,0
15,6,White,0
15,6,Black,1
15,6,Black,1
15,6,Black,1
16,7,Black,0
16,7,Black,1
16,7,White,0
16,7,White,0
16,7,White,0
16,7,White,0
16,7,Black,1
16,7,Black,1
16,7,White,0
16,7,Black,1
17,5,Black,1
17,5,Black,1
17,5,White,0
17,5,Black,1
17,5,White,1
17,5,Black,0
17,5,White,0
17,5,Black,1
17,5,White,0
17,5,White,0
18,8,White,0
18,8,Black,0
18,8,Black,1
18,8,Black,1
18,8,Black,0
18,8,White,0
18,8,White,0
18,8,White,0
18,8,Black,0
18,8,White,0
19,9,Black,1
19,9,Black,1
19,9,White,0
19,9,Black,1
19,9,White,0
19,9,White,0
19,9,White,0
19,9,Black,1
19,9,White,0
19,9,Black,1
20,12,Black,1
20,12,White,0
20,12,Black,1
20,12,White,0
20,12,Black,1
20,12,Black,1
20,12,Black,1
20,12,Black,1
20,12,White,0
20,12,White,0
21,7,White,0
21,7,White,0
21,7,Black,1
21,7,White,0
21,7,Black,1
21,7,White,0
21,7,Black,1
21,7,Black,1
21,7,Black,1
21,7,White,0
22,6,White,0
22,6,White,0
22,6,Black,1
22,6,Black,1
22,6,White,0
22,6,Black,1
22,6,White,0
22,6,White,0
22,6,Black,1
22,6,Black,1
23,8,Black,1
23,8,White,0
23,8,White,0
23,8,White,0
23,8,White,0
23,8,White,0
23,8,Black,1
23,8,Black,1
23,8,Black,1
23,8,Black,1
24,6,Black,1
24,6,Black,1
24,6,Black,1
24,6,White,0
24,6,White,0
24,6,White,0
24,6,Black,1
24,6,White,0
24,6,Black,1
24,6,White,0
25,8,Black,1
25,8,White,0
25,8,Black,1
25,8,White,0
25,8,White,0
25,8,Black,1
25,8,Black,1
25,8,Black,1
25,8,White,0
25,8,White,0
26,10,White,0
26,10,White,1
26,10,Black,1
26,10,Black,1
26,10,Black,1
26,10,White,0
26,10,Black,1
26,10,White,0
26,10,White,0
26,10,Black,1
27,4,White,0
27,4,White,0
27,4,White,0
27,4,White,0
27,4,White,0
27,4,Black,1
27,4,Black,1
27,4,Black,1
27,4,Black,1
27,4,Black,1
28,8,Black,1
28,8,White,0
28,8,White,0
28,8,Black,1
28,8,White,0
28,8,White,0
28,8,Black,1
28,8,White,1
28,8,Black,1
28,8,Black,1
29,6,Black,1
29,6,Black,1
29,6,White,0
29,6,Black,1
29,6,White,0
29,6,White,0
29,6,Black,1
29,6,Black,1
29,6,White,1
29,6,White,0
30,4,White,0
30,4,Black,1
30,4,White,0
30,4,Black,1
30,4,White,0
30,4,Black,1
30,4,Black,1
30,4,White,1
30,4,Black,0
30,4,White,0
31,10,White,0
31,10,Black,1
31,10,White,0
31,10,Black,1
31,10,White,0
31,10,Black,1
31,10,Black,1
31,10,White,0
31,10,White,0
31,10,Black,1
32,5,White,0
32,5,Black,1
32,5,White,0
32,5,White,0
32,5,Black,1
32,5,Black,1
32,5,Black,0
32,5,Black,1
32,5,White,0
32,5,White,0
33,10,White,1
33,10,White,0
33,10,White,0
33,10,White,0
33,10,Black,1
33,10,Black,1
33,10,Black,1
33,10,Black,1
33,10,Black,1
33,10,White,0
34,8,Black,1
34,8,White,0
34,8,Black,1
34,8,White,1
34,8,White,0
34,8,Black,1
34,8,Black,1
34,8,Black,1
34,8,White,0
34,8,White,0
35,10,White,0
35,10,Black,1
35,10,White,0
35,10,Black,0
35,10,Black,1
35,10,White,0
35,10,Black,1
35,10,White,0
35,10,White,0
35,10,Black,1
36,14,Black,1
36,14,White,0
36,14,Black,1
36,14,Black,1
36,14,White,0
36,14,Black,1
36,14,White,0
36,14,Black,1
36,14,White,0
36,14,White,0
37,9,Black,1
37,9,White,0
37,9,White,0
37,9,Black,1
37,9,White,0
37,9,White,0
37,9,White,0
37,9,Black,1
37,9,Black,1
37,9,Black,1
38,7,White,0
38,7,White,0
38,7,Black,1
38,7,White,0
38,7,White,0
38,7,Black,1
38,7,Black,1
38,7,White,0
38,7,Black,1
38,7,Black,1
39,6,Black,1
39,6,Black,1
39,6,Black,1
39,6,Black,0
39,6,White,0
39,6,White,1
39,6,White,0
39,6,White,0
39,6,Black,1
39,6,White,0
40,13,White,0
40,13,White,0
40,13,Black,1
40,13,Black,1
40,13,Black,1
40,13,White,0
40,13,White,0
40,13,White,0
40,13,Black,1
40,13,Black,1
